Isolate,Vancomycin,Streptomycin,Macrolide,Chloramphenicol,Amikacin/Gentamicin/Kanamycin/Tobramycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Amikacin/Kanamycin,Other antimicrobial,Tetracycline,Lincosamide/Macrolide/Streptogramin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Trimethoprim,Fosfomycin,Quinolone,Amikacin/Kanamycin/Tobramycin,Streptogramin
CP130862.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP130866.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130852.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130848.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130868.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanA^",,erm(B)^,,,,,,,,,,,,,,,,
CP130874.1,"vanA,vanH-A,vanR-A,vanX-A,vanS-A*,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP130870.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP130872.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130826.1,"vanA,vanR-A,vanS-A,vanX-A,vanH-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP130828.1,"vanA,vanH-A,vanR-A,vanX-A,vanS-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130830.1,"vanZ-A,vanA*,vanX-A*,vanY-A^",,,,,,,,,,,,,,,,,,
NZ_CP040744.1,,,,,,,,,,,,,,,,,,,
NZ_CP040743.1,,,,,,,,,,,,,,,,,,,
NZ_CP040742.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP040741.1,,,,,,,,,,,,,,,,,,,
NZ_CP040708.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A,vanS-A^",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP040707.1,,,,,,,,,,,,,,,,,,,
NZ_CP040705.1,,,,,,,,,,,,,,,,,,,
NZ_CP040704.1,,,,,,,,,,,,,,,,,,,
NZ_CP040703.1,,,,,,,,,,,,,,,,,,,
NZ_CP040373.1,,,,,,,,,,,,,,,,,,,
NZ_CP040372.1,,,,,,,,,,,,,,,,,,,
NZ_CP040371.1,,,,,,,,,,,,,,,,,,,
NZ_CP040370.1,,,,,,,,,,,,,,,,,,,
NZ_CP040369.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP040238.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,optrA*,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP040237.1,,,erm(B),,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP034950.1,,,,,,,,,,,,,,,,,,,
NZ_CP034948.1,,,,,,,,,,,,,,,,,,,
NZ_CP034947.1,,,,,,,,,,,,,,,,,,,
NZ_CP034946.1,,,,,,,,,,,,,,,,,,,
NZ_CP034945.1,,,,,,,,,,,,,,,,,,,
NZ_MG957432.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,"tet(L),tet(M)",,lnu(B),lsa(E),spw,,,,,
NZ_MG640601.1,"vanH-M,vanM,vanS-M,vanX-M^",,,,,,,,,,,,,,,,,,
NZ_KR936172.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B),lsa(E),spw,,,,,
NZ_KR066794.1,"vanB,vanH-B,vanR-B*,vanS-B*,vanW-B,vanX-B*,vanY-B",ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B),lsa(E)*,,,,,,
NZ_KR047792.1,"vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A,vanA^",,,,,,,,,,,,,,,,,,
NZ_CP019991.1,,,,,,,,,,,,,,,,,,,
NZ_CP019990.1,,,,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP019989.1,"vanA,vanH-A,vanR-A,vanR-A*,vanS-A,vanX-A,vanY-A,vanZ-A",,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP019995.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanR-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP019994.1,,,erm(A),,,,,,,,,,,ant(9)-Ia,,,,,
NZ_CP019993.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP128994.1,,,,,,,,,,,,,,,,,,,
AP028419.1,,,,,,,,,,,,,,,,,,,
AP028418.1,,,,,,,,,,,,,,,,,,,
AP028417.1,,,,,,,,,,,,,,,,,,,
AP028416.1,,ant(6)-Ia,erm(B)*,,,,,,,,,,,,,,,,
NZ_CP128189.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
NZ_AP027296.1,,,"erm(B),poxtA",,,,,,,"tet(L)*,tet(M)^",,,,,,,,,
NZ_AP027295.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,aac(6')-Ie/aph(2'')-Ia,optrA*,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP076487.1,,,,,,,,,,,,,,,,,,,
NZ_CP076486.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP076485.1,,,,,,,,,,,,,,,,,,,
NZ_CP076484.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP076482.1,,,,,,,,,,,,,,,,,,,
NZ_CP076480.1,,,,,,,,,,,,,,,,,,,
NZ_CP076479.1,,,,,,,,,,,,,,,,,,,
NZ_CP076478.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP076476.1,,,,,,,,,,,,,,,,,,,
NZ_CP076475.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP076474.1,,,,,,,,,,,,,,,,,,,
NZ_CP076473.1,,,,,,,,,,,,,,,,,,,
NZ_CP076472.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP035655.1,,,,,,,,,,,,,,,,,,,
NZ_CP035653.1,,,,,,,,,,,,,,,,,,,
NZ_CP035652.1,,,,,,,,,,,,,,,,,,,
NZ_CP035651.1,,,,,,,,,,,,,,,,,,,
NZ_CP035650.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP035661.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP035659.1,,,,,,,,,,,,,,,,,,,
NZ_CP035658.1,,,,,,,,,,,,,,,,,,,
NZ_CP035657.1,,,,,,,,,,,,,,,,,,,
NZ_CP035656.1,,,,,,,,,,,,,,,,,,,
NZ_CP035649.1,,,,,,,,,,,,,,,,,,,
NZ_CP035647.1,,,,,,,,,,,,,,,,,,,
NZ_CP035646.1,,,,,,,,,,,,,,,,,,,
NZ_CP035645.1,,,,,,,,,,,,,,,,,,,
NZ_CP035644.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_LR135453.1,,,,,,,,,,,,,,,,,,,
NZ_LR135452.1,,,,,,,,,,,,,,,,,,,
NZ_LR135451.1,,,,,,,,,,,,,,,,,,,
NZ_LR135450.1,,,,,,,,,,,,,,,,,,,
NZ_LR135449.1,,,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_LR135448.1,,,,,,,,,,,,,,,,,,,
NZ_LR135447.1,,,,,,,,,,,,,,,,,,,
NZ_LR135446.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B)*,,,,,aph(3')-IIIa^,,,,,,,,,,,
NZ_LR135445.1,,,,,,,,,,,,,,,,,,,
NZ_LR135444.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_LR135427.1,,,,,,,,,,,,,,,,,,,
NZ_LR135426.1,,,,,,,,,,,,,,,,,,,
NZ_LR135425.1,,,,,,,,,,,,,,,,,,,
NZ_LR135424.1,,,,,,,,,,,,,,,,,,,
NZ_LR135422.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_LR135421.1,,,,,,,,,,,,,,,,,,,
NZ_LR135420.1,,,,,,,,,,,,,,,dfrG,,,,
NZ_OU015716.1,,,,,,,,,,,,,,,,,,,
NZ_OU015715.1,,,,,,,,,,,,,,,,,,,
NZ_OU015714.1,,,,,,,,,,,,,,,,,,,
NZ_OU015712.1,,,,,,,,,,,,,,,,,,,
NZ_OU015711.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_OU015710.1,,,,,,,,,,,,,,,,,,,
NZ_OU015709.1,,,,,,,,,,,,,,,,,,,
NZ_OU015954.1,,,,,,,,,,,,,,,,,,,
NZ_OU015953.1,,,,,,,,,,,,,,,,,,,
NZ_OU015952.1,,,,,,,,,,,,,,,,,,,
NZ_OU015950.1,,,,,,,,,,,,,,,,,,,
NZ_OU015949.1,,,,,,,,,,,,,,,,,,,
NZ_OU015948.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_OU015947.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OU016045.1,,,,,,,,,,,,,,,,,,,
NZ_OU016044.1,,,,,,,,,,,,,,,,,,,
NZ_OU016043.1,,,,,,,,,,,,,,,,,,,
NZ_OU016042.1,,,,,,,,,,,,,,,,,,,
NZ_OU016041.1,,,,,,,,,,,,,,,,,,,
NZ_OU016040.1,,,,,,,,,,,,,,,,,,,
NZ_OU016039.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_OU016038.1,,,,,,,,,,,,,,,,,,,
NZ_OU016037.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OU016035.1,,,,,,,,,,,,,,,,,,,
NZ_OU016034.1,,,,,,,,,,,,,,,,,,,
NZ_OU016033.1,,,,,,,,,,,,,,,,,,,
NZ_OU016031.1,,,,,,,,,,,,,,,,,,,
NZ_OU016030.1,,,,,,,,,,,,,,,,,,,
NZ_OU016029.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_OU016028.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP109760.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP109759.1,,ant(6)-Ia,erm(B),,,,,,,"tet(L),tet(M)",,lnu(B)*,lsa(E),spw,,,,,
NZ_CP072887.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP072886.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,,"tet(L),tet(M)",,lnu(B),lsa(E)^,spw,,,,,
NZ_CP072885.1,,,,,,,,,,,,,,,,,,,
NZ_CP072896.1,,,erm(B),,,optrA*,fexA*,,,,,,,ant(9)-Ia,,,,,
NZ_CP072895.1,,,,,,,,,,,,,,,,,,,
NZ_CP072880.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP072879.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,aac(6')-Ie/aph(2'')-Ia*,optrA*,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP072883.1,,,,,,,,,,,,,,,,,,,
NZ_CP072882.1,,,erm(B)*,,,,,,,,,,,,,,,,
NZ_CP091212.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP091211.1,,,,,,,,,,,,,,,,,,,
NZ_CP091214.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,,,,,
NZ_CP091220.1,,,,,,,,,,,,,,,,,,,
NZ_CP091219.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP091218.1,,ant(6)-Ia,,,,,,,,"tet(L),tet(M)*",,lnu(B),lsa(E),,,,,,
NZ_CP088197.1,,,,,,,,,,"tet(M),tet(L)^",,,,,,,,,
NZ_CP088196.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP088194.1,,,,,,,,,,,,,,,,,,,
NZ_CP088193.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP088192.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B)*,,aac(6')-Ie/aph(2'')-Ia,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw*,,,,,
NZ_CP091223.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP091222.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B)*,,aac(6')-Ie/aph(2'')-Ia,,,aph(3')-IIIa,sat4,,,lnu(B),,spw,,,,,
NZ_CP097065.1,,,,,,,,,,,,,,,,,,,
NZ_CP097064.1,,,erm(B),,,,,,,,cfr(D),,,,,,,,
NZ_CP097063.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP097062.1,,,,,,optrA*,fexA*,,,,,,,,,,,,
NZ_CP097029.1,,,"erm(B),poxtA",,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP097028.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,aac(6')-Ie/aph(2'')-Ia,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP097016.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP097015.1,,ant(6)-Ia,,,,optrA*,,,,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP047329.1,,,erm(B)*,,,,,,,,,,,,,fosB3,,,
NZ_CP047328.1,,,poxtA*,,,,,,,,,,,,,,,,
NZ_CP047327.1,,,,,,,,,,,,,,,,,,,
NZ_CP096218.1,,,,,,,,,,,,,,,,,,,
NZ_CP096217.1,,,,,,,,,,,,,,,,,,,
NZ_CP096216.1,,,,,,,,,,,,,,,,,,,
NZ_CP096215.1,,,,,,,,,,,,,,,,,,,
NZ_CP096214.1,,,,,,,,,,,,,,,,,,,
NZ_CP096213.1,"vanA*,vanH-A,vanR-A*,vanS-A,vanX-A,vanY-A*,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
NZ_CP096212.1,,,,,,,,,,,,,,,,,,,
NZ_CP096226.1,,,,,,,,,,,,,,,,,,,
NZ_CP096225.1,,,,,,,,,,,,,,,,,,,
NZ_CP096224.1,,,,,,,,,,,,,,,,,,,
NZ_CP096223.1,,,,,,,,,,,,,,,,,,,
NZ_CP096222.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP096221.1,,,,,,,,,,,,,,,,,,,
NZ_CP096220.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP072719.1,,,,,,,,,,,,,,,,,,,
NZ_CP072718.1,,,,,,,,,,,,,,,,,,,
NZ_CP072717.1,,,,,,,,,,,,,,,,,,,
NZ_CP072716.1,,,,,,,,,,,,,,,,,,,
NZ_CP072715.1,,,,,,,,,,,,,,,,,,,
NZ_CP072714.1,,,,,,,,,,,,,,,,,,,
NZ_CP072713.1,,,,,,,,,,,,,,,,,,,
NZ_CP072712.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP072711.1,,,,,,,,,,,,,,,,,,,
NZ_CP072710.1,,,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP072709.1,,,,,,,,,,,,,,,,,,,
NZ_CP072708.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP072741.1,,,,,,,,,,,,,,,,,,,
NZ_CP072740.1,,,,,,,,,,,,,,,,,,,
NZ_CP072739.1,,,,,,,,,,,,,,,,,,,
NZ_CP072738.1,,,,,,,,,,,,,,,,,,,
NZ_CP072737.1,,,,,,,,,,,,,,,,,,,
NZ_CP072736.1,,,,,,,,,,,,,,,,,,,
NZ_CP072735.1,,,,,,,,,,,,,,,,,,,
NZ_CP072734.1,,ant(6)-Ia,,,,,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP072733.1,"vanA*,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP072732.1,,,"erm(B),erm(B)*",,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NC_008821.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",str^,,,,,,,,,,,,,,,,,
NZ_ON009374.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_OP046176.1,,,poxtA,,,,,,,"tet(L)*,tet(M)*",,,,,,,,,
NZ_OP046170.1,,ant(6)-Ia^,"erm(B),poxtA*",,,,,aph(3')-IIIa,sat4^,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP072578.1,,,,,,,,,,,,,,,,,,,
NZ_CP072577.1,,,,,,,,,,,,,,,,,,,
NZ_CP072576.1,,,,,,,,,,,,,,,,,,,
NZ_CP072575.1,,,,,,,,,,,,,,,,,,,
NZ_CP072574.1,,,,,,,,,,,,,,,,,,,
NZ_CP072572.1,,,,,,,,,,,,,,,,,,,
NZ_CP072571.1,,,,,,,,,,,,,,,,,,,
NZ_CP072570.1,,,,,,,,,,tet(S),,,,,,,,,
NZ_CP072569.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP072568.1,,,"erm(B),erm(B)*",,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP072585.1,,,,,,,,,,,,,,,,,,,
NZ_CP072584.1,,,,,,,,,,,,,,,,,,,
NZ_CP072582.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B)^,,,,,,,
NZ_CP072581.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP072580.1,,,,,,,,,,,,,,,,,,,
NZ_CP072595.1,,,,,,,,,,,,,,,,,,,
NZ_CP072594.1,,,,,,,,,,,,,,,,,,,
NZ_CP072593.1,,,,,,,,,,,,,,,,,,,
NZ_CP072592.1,,,,,,,,,,,,,,,,,,,
NZ_CP072591.1,,,,,,,,,,,,,,,,,,,
NZ_CP072589.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP072588.1,"vanA*,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,erm(B),,,optrA*,,,,,cfr(D),,,,,,,,
NZ_CP072587.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_MT022086.1,,ant(6)-Ia,erm(B),,,,,,,,,lnu(B)^,lsa(E),spw^,,,,,
NZ_MF580438.1,,,erm(B)*,,,optrA*,,,,,cfr,,,,,,,,
NZ_KX853854.1,"vanA,vanH-A,vanR-A,vanX-A,vanY-A,vanZ-A,vanS-A^",,,,,,,,,,,,,,,fosB3,,,
NZ_KP342511.1,"vanN*,vanR-N*,vanS-N*,vanT-N*,vanXY-N*",,,,,,,,,,,,,,,,,,
NZ_KJ645709.1,,ant(6)-Ia,erm(B),catA^,,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,,,,,
NZ_AP019409.1,,,,,,,,,,,,,,,,,,,
NZ_AP019410.1,,,erm(B),,,,,,,,,,,,,,,,
NZ_CP050651.1,,,,,,,,,,,,,,,,,,,
NZ_CP050649.1,,,,,,,,,,,,,,,,,,,
NZ_CP038175.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP038169.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP038171.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,dfrG,,,,
NZ_CP038167.1,,,poxtA,catA*,,,,,,"tet(M),tet(L)^",,,,,,,,,
NZ_CP038173.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP045014.1,,,,,,,,,,,,,,,,,,,
NZ_CP045013.1,,ant(6)-Ia,erm(B),,aph(2'')-IVa,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E)^,,,,,,
NC_021170.1,"vanA*,vanH-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NC_019253.1,,,,,,,,,,,,,,,,,,,
NC_016967.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NC_016009.1,,,,,,,,,,"tet(L),tet(M)",,,,,,,,,
NC_011140.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",str^,,,,,,,,,,,,,,,,,
NC_008768.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",str^,,,,,,,,,,,,,,,,,
NC_008259.1,,,,,,,,,,,,,,,,,,,
NC_007594.1,,,,,,,,,,,,,,,,,,,
NC_005000.1,,ant(6)-Ia,erm(B),catA,,,,,sat4,,,,,,,,,,
NZ_CP071969.1,,,,,,,,,,,,,,,,,,,
NZ_CP071968.1,,,,,,,,,,,,,,,,,,,
NZ_CP071967.1,,,,,,,,,,,,,,,,,,,
NZ_CP071966.1,,,,,,,,,,,,,,,,,,,
NZ_CP071965.1,,,,,,,,,,,,,,,,,,,
NZ_CP071964.1,,,,,,,,,,,,,,,,,,,
NZ_CP071963.1,,,,,,,,,,,,,,,,,,,
NZ_CP071961.1,,,,,,,,,,,,,,,,,,,
NZ_CP071960.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP071959.1,,ant(6)-Ia,erm(B)*,,aac(6')-Ie/aph(2'')-Ia*,,,aph(3')-IIIa,,tet(L),,,,,,,,,
CP035667.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
CP035665.1,,,,,,,,,,,,,,,,,,,
CP035664.1,,,,,,,,,,,,,,,,,,,
CP035663.1,,,,,,,,,,,,,,,,,,,
CP035662.1,,,,,,,,,,,,,,,,,,,
NZ_CP071930.1,,,,,,,,,,,,,,,,,,,
NZ_CP071929.1,,,erm(B),,,,,,,,,,,,,,,,
NZ_CP071928.1,,,,,,,,,,,,,,,,,,,
NZ_CP071927.1,,,,,,,,,,,,,,,,,,,
NZ_CP071926.1,,,,,,,,,,,,,,,,,,,
NZ_CP071924.1,,,,,,,,,,,,,,,,,,,
NZ_CP094236.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP094235.1,,,,,,,,,,,,,,,,,,,
NZ_CP094234.1,,,,,,,,,,,,,,,,,,,
NZ_CP094233.1,,,,,,,,,,,,,,,,,,,
NZ_CP094232.1,,,,,,,,,,,,,,,,,,,
NZ_CP094231.1,,,,,,,,,,,,,,,,,,,
NZ_CP093956.1,,,,,,,,,,,,,,,,,,,
NZ_CP093955.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A*",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP093954.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP093946.1,,,,,,,,,,,,,,,,,,,
NZ_CP093945.1,,,,,,,,,,,,,,,,,,,
NZ_CP093944.1,,,,,,,,,,,,,,,,,,,
NZ_CP093943.1,,ant(6)-Ia,erm(T)*,cat-TC^,,,,,,"tet(L),tet(M)",,,,,,,,,
NZ_CP093942.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP093952.1,,,,,,,,,,,,,,,,,,,
NZ_CP093951.1,,,,,,,,,,,,,,,,,,,
NZ_CP093950.1,,,,,,,,,,,,,,,,,,,
NZ_CP093949.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP093948.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP089093.2,,,,,,,,,,,,,,,,,,,
NZ_CP092573.1,,,,,,,,,,,,,,,,,,,
NZ_CP092572.1,,,,,,,,,,,,,,,,,,,
NZ_CP092571.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP092570.1,,,,,,,,,,,,,,,,,,,
NZ_CP092378.1,,,,,,,,,,,,,,,,,,,
NZ_CP092377.1,,,,,,,,,,,,,,,,,,,
NZ_CP092376.1,,,,,,,,,,,,,,,,,,,
NZ_CP092375.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP092374.1,,,,,,,,,,,,,,,,,parC_S80I,,
NZ_CP035222.1,,,,,,,,,,,,,,,,,,,
NZ_CP035221.1,,,,,,,,,,,,,,,,,,,
NZ_CP035138.1,,,,,,,,,,,,,,,,,,,
NZ_CP035137.1,,,,,,,,,,,,,,,,,,,
NZ_CP025687.1,,,,,,,,,,,,,,,,,,,
NZ_CP025686.1,,,,,,,,,,,,,,,,,,,
NZ_CP033042.1,,,,,,,,,,,,,,,,,,,
NZ_CP020487.1,,,,,,,,,,,,,,,,,,,
NZ_CP020486.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_CP020485.1,,,,,,,,,,,,,,,,,,,
NZ_CP032309.1,,,,,,,,,,,,,,,,,,,
NZ_CP032307.1,,,,,,,,,,,,,,,,,,,
NZ_CP064431.1,,,,,,,,,,,,,,,,,,,
