Isolate,Chloramphenicol,Tetracycline,Macrolide,Amikacin/Kanamycin,Other antimicrobial,Streptomycin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Amikacin/Gentamicin/Kanamycin/Tobramycin,Trimethoprim,Vancomycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Lincosamide/Macrolide/Streptogramin,Kanamycin/Tobramycin,Streptogramin,Fosfomycin
NZ_CP113834.1,,,,,,,,,,,,,,,,,,
NZ_CP113833.1,catA*,"tet(L)*,tet(M)","erm(B),erm(B)*",aph(3')-IIIa,,,,,,,dfrG,,,,,,,
NZ_CP113830.1,,,,,,,,,,,,,,,,,,
NZ_CP113829.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP089585.1,,,erm(T),,,,,,,,,,,,,,,
NZ_CP086593.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP063981.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP086559.1,,,,,,,,,,,,,,,,,,
NZ_CP086567.1,,,,,,,,,,,,,,,,,,
NZ_CP086563.1,,tet(O)*,,,,,,,,,,,,,,,,
NZ_CP086562.1,,"tet(L),tet(M)*",,,,,,,,,,,,,,,,
NZ_CP086561.1,,,,,,,,,,,,,,,,,,
NZ_CP086565.1,,,,,,,,,,,,,,,,,,
NZ_CP036248.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
NZ_CP036247.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NZ_CP045601.1,,,,,,,,,,,,,,,,,,
NZ_CP045600.1,,,,,,,,,,,,,,,,,,
NZ_CP045599.1,,,,,,,,,,,,,,,,,,
NC_019385.1,,,,,,,,,,,,,,,,,,
NZ_CP110293.1,,,,,,,,,,,,,,,,,,
NZ_CP110292.1,,,,,,,,,,,,,,,,,,
NZ_CP110291.1,,,"erm(B),erm(B)^",aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG,,,,,,,
NZ_CP110290.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
NZ_CP096049.1,,,erm(B)*,,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,optrA*,fexA*,,,,
NZ_CP091200.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091199.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP091197.1,,,,,,,,,,,,,,,,,,
NZ_CP068250.1,,"tet(L)*,tet(M)","erm(B),poxtA",,,,,,,,dfrG,,,,,,vat(E),
NZ_CP090559.1,,,,,,,,,,,,,,,,,,
NZ_CP008815.1,,,,,,,,,,,,,,,,,,
NZ_CP008814.1,,,,,,,,,,,,,,,,,,
NZ_CP110078.1,,,,,,,,,,,,,,,,,,
NZ_CP110077.1,,,,,,,,,,,,,,,,,,
NZ_CP110076.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
NZ_CP110075.1,,,,,,,,,,,,,,,,,,
NZ_CP110073.1,,,,,,,,,,,,,,,,,,
NZ_CP110067.1,,,,,,,,,,,,,,,,,,
NZ_CP110066.1,,,,,,,,,,,,,,,,,,
NZ_CP110065.1,,,,,,,,,,,,,,,,,,
NZ_CP110064.1,,,,,,,,,,,,,,,,,,
NZ_CP110062.1,,,,,,,,,,,,,,,,,,
NZ_CP110061.1,,,,,,,,,,,,,,,,,,
NZ_CP110060.1,,,,,,,,,,,,,,,,,,
NZ_CP110058.1,,,,,,,,,,,,,,,,,,
NZ_CP110057.1,,,,,,,,,,,,,,,,,,
NZ_CP110056.1,,,,,,,,,,,,,,,,,,
NZ_CP110055.1,,,,,,,,,,,,,,,,,,
NZ_CP110049.1,,,,,,,,,,,,,,,,,,
NZ_CP110048.1,,,,,,,,,,,,,,,,,,
NZ_CP110070.1,,,,,,,,,,,,,,,,,,
NZ_CP110046.1,,,,,,,,,,,,,,,,,,
NZ_CP110045.1,,,,,,,,,,,,,,,,,,
NZ_CP110044.1,,,,,,,,,,,,,,,,,,
NZ_CP110043.1,,,,,,,,,,,,,,,,,,
NZ_CP110042.1,,,,,,,,,,,,,,,,,,
NZ_CP110052.1,,,,,,,,,,,,,,,,,,
NZ_CP110051.1,,,,,,,,,,,,,,,,,,
CP110033.1,,,,,,,,,,,,,,,,,,
CP110034.1,,,,,,,,,,,,,,,,,,
CP110037.1,,,,,,,,,,,,,,,,,,
CP110024.1,,,,,,,,,,,,,,,,,,
CP110023.1,,,,,,,,,,,,,,,,,,
CP110021.1,,,,,,,,,,,,,,,,,,
CP110031.1,,,,,,,,,,,,,,,,,,
CP110029.1,,,,,,,,,,,,,,,,,,
CP110028.1,,,,,,,,,,,,,,,,,,
CP110027.1,,,,,,,,,,,,,,,,,,
CP110026.1,,,,,,,,,,,,,,,,,,
CP110025.1,,,,,,,,,,,,,,,,,,
NZ_CP085293.1,,,"erm(B)*,poxtA2",,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP085292.1,,,erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,
NZ_CP085299.1,,,,,,,,,,,,,,,,,,
NZ_CP085298.1,,,,,,,,,,,,,,,,,,
NZ_CP085297.1,,,,,,,,,,,,,,,,,,
NZ_CP085296.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
NZ_CP085295.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP085290.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,str*,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_MW012677.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_CP028286.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP028284.1,,,,,,,,,,,,,,,,,,
NZ_CP028283.1,,,,,,,,,,,,,,,,,,
NZ_CP050492.1,,"tet(L),tet(M)",,,,,,,,,,,,,,,,
NZ_MK562089.1,,,,,,,,,,,,,,,,,,
NZ_MK283980.1,,,,,,,,,,,,,,,,,,
NZ_MK283981.1,,,,,,,,,,,,,,,,,,
NZ_MK562087.1,,,,,,,,,,,,,,,,,,
NZ_MK562086.1,,,,,,,,,,,,,,,,,,
NZ_CP103862.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,,,,,,
NZ_CP075610.1,,,,,,,,,,,,,,,,,,
NZ_CP075609.1,,,,,,,,,,,,,,,,,,
NZ_CP075608.1,,,,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NZ_CP075607.1,,,,,,,,,,,,,,,,,,
NZ_CP075606.1,,,,,,,,,,,,,,,,,,
NZ_CP075605.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_MT223178.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_MN831410.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_MN831412.1,,,poxtA,,,,,,,,,,,,,,,
NZ_MK784778.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,str,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_MK784777.1,,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,fexA*,,,,
NZ_MK465702.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,str,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_MH830363.1,,,,,,,,,ant(9)-Ia,,,,optrA,fexA*,,,,
NZ_MH830362.1,,,erm(B)*,aph(3')-IIIa,bleO^,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,cfr*,,,
NC_008445.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NC_013533.1,,,,,,,,,,,,,,,,,,
NC_013514.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP098422.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP098421.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,,,,,,
NZ_CP098420.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
NZ_CP098419.1,,,,,,,,,,,,,,,,,,
NC_005013.1,,tet(L)^,,,,,,,,,,,,,,,,
NC_005010.1,,,,,,,,,,,,,,,,,,
NZ_CP053182.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091238.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,dfrG*,,,,,,,
NZ_CP091234.1,,,,,,,,,,,,,,,,,,
NZ_CP091233.1,,,,,,,,,,,,,,,,,,
NZ_CP091232.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_CP091230.1,,,,,,,,,,,,,,,,,,
NZ_CP091229.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP091228.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_CP097043.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP097005.1,,,,,,,,,,,,,,,,,,
NZ_CP097060.1,,"tet(L),tet(M)",,aph(3')-IIIa,sat4*,ant(6)-Ia,,,,,,,,,,,,
LR962861.1,,,,,,,,,,,,,,,,,,
LR962860.1,,,,,,,,,,,,,,,,,,
LR962858.1,,,,,,,,,,,,,,,,,,
LR962856.1,,,,,,,,,,,,,,,,,,
LR962854.1,,,,,,,,,,,,,,,,,,
LR962853.1,,,,,,,,,,,,,,,,,,
LR962851.1,,,,,,,,,,,,,,,,,,
LR962849.1,,"tet(L),tet(M)","erm(B),poxtA",,,,,,,,,,,,,,,
LR962848.1,,,erm(B),,,,,,,,,,,,,,,
LR962847.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,ant(6)-Ia,,,spw,,dfrG*,,,,,,,
LR962845.1,,,,,,,,,,,,,,,,,,
LR962844.1,,,,,,,,,,,,,,,,,,
LR962841.1,,,,,,,,,,,,,,,,,,
LR962839.1,,,,,,,,,,,,,,,,,,
LR962838.1,,tet(O)*,erm(B)*,,,ant(6)-Ia,,,,,,,,,,,,
LR962837.1,,,erm(B),,,,,,,,,,,,,,,
LR962835.1,,,,,,,,,,,,,,,,,,
LR962833.1,,,,,,,,,,,,,,,,,,
LR962831.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,lnu(B),lsa(E),spw,,dfrG,,,,,,,
LR962829.1,,,,,,,,,,,,,,,,,,
LR962828.1,,,,,,,,,,,,,,,,,,
LR962824.1,,,erm(B),,,,,,,,,,,,,,,
LR962823.1,,,erm(B),,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962822.1,,,,,,,,,,,,,,,,,,
LR962819.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,str,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
LR962817.1,,,,,,,,,,,,,,,,,,
LR962816.1,,,erm(B),,,ant(6)-Ia,,,,,,,,,,,,
LR962815.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
LR962813.1,catA,,erm(B),,,,,,,,dfrG,,,,,,,
LR962812.1,,,,,,,,,,,,,,,,,,
LR962810.1,,,,,,,,,,,,,,,,,,
LR962809.1,,,,,,,,,,,,,,,,,,
LR962808.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,"ant(6)-Ia,str",,,,,,,,,,,,
LR962804.1,,,,,,,,,,,,,,,,,,
LR962803.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962801.1,,,,,,,,,,,,,,,,,,
LR962800.1,,,,,,,,,,,,,,,,,,
LR962799.1,,,,,,,,,,,,,,,,,,
LR962798.1,,tet(M),,,,,,,,,,,,,,,,
LR962795.1,,,,,,,,,,,,,,,,,,
LR962794.1,,,,,,,,,,,,,,,,,,
LR962793.1,,,,,,,,,,,,,,,,,,
LR962791.1,,,,,,,,,,,,,,,,,,
LR962790.1,,,,,,,,,,,,,,,,,,
LR962789.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962787.1,,,,,,,,,,,,,,,,,,
LR962786.1,,,,,,,,,,,,,,,,,,
LR962785.1,,,,,,,,,,,,,,,,,,
LR962783.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962781.1,,,,,,,,,,,,,,,,,,
LR962780.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962779.1,,,,,,,,,,,,,,,,,,
LR962778.1,,,erm(B),,,,,,,,,,,,,,,
LR962776.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,"ant(6)-Ia,str",,,,,,,,,,,,
LR962774.1,,,erm(B),,,,,,,,,,,,,,,
LR962773.1,,,erm(B),,,,,,,,dfrG,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A,vanZ-A",,,,,,
LR962737.1,,,,,,,,,,,,,,,,,,
LR962735.1,,,,,,,,,,,,,,,,,,
LR962734.1,,,,,,,,,,,,,,,,,,
LR962733.1,,,,,,,,,,,,,,,,,,
LR962730.1,,,,,,,,,,,,,,,,,,
LR962728.1,,,,,,,,,,,,,,,,,,
LR962727.1,,,,,,,,,,,,,,,,,,
LR962725.1,,,,,,,,,,,,,,,,,,
LR962724.1,,,,,,,,,,,,,,,,,,
LR962722.1,,,,,,,,,,,,,,,,,,
LR962719.1,,,,,,,,,,,,,,,,,,
LR962718.1,,,,,,,,,,,,,,,,,,
LR962715.1,catA,,,,,,,,,,,,,,,,,
LR962713.1,,,,,,,,,,,,,,,,,,
LR962712.1,,,,,,,,,,,,,,,,,,
LR962710.1,,tet(L),,,,,,,,,,,,,,,,
LR962709.1,,,,,,,,,,,,,,,,,,
LR962707.1,,,,,,,,,,,,,,,,,,
LR962706.1,,,,,,,,,,,,,,,,,,
LR962705.1,,,,,,,,,,,,,,,,,,
LR962704.1,,,,,,,,,,,,,,,,,,
LR962701.1,,,,,,,,,,,,,,,,,,
LR962699.1,,,,,,,,,,,,,,,,,,
LR962697.1,,,,,,,,,,,,,,,,,,
LR962696.1,,,,,,,,,,,,,,,,,,
LR962693.1,,,,,,,,,,,,,,,,,,
LR962690.1,,,,,,,,,,,,,,,,,,
LR962688.1,,,,,,,,,,,,,,,,,,
LR962686.1,,,,,,,,,,,,,,,,,,
LR962685.1,,,,,,,,,,,,,,,,,,
LR962682.1,,,,,,,,,,,,,,,,,,
LR962679.1,,,,,,,,,,,,,,,,,,
LR962678.1,,,,,,,,,,,,,,,,,,
LR962677.1,,,,,,,,,,,,,,,,,,
LR962675.1,,,,,,,,,,,,,,,,,,
LR962674.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962673.1,catA,tet(L)^,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962672.1,,,,,,,,,,,,,,,,,,
LR962669.1,,,,,,,,,,,,,,,,,,
LR962665.1,,,,,,,,,,,,,,,,,,
LR962664.1,,,,,,,,,,,,,,,,,,
LR962662.1,,,,,,,,,,,,,,,,,,
LR962661.1,,,,,,,,,,,,,,,,,,
LR962660.1,,,,,,,,,,,,,,,,,,
LR962659.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962657.1,,,,,,,,,,,,,,,,,,
LR962655.1,,,,,,,,,,,,,,,,,,
LR962653.1,,,,,,,,,,,,,,,,,,
LR962651.1,,,,,,,,,,,,,,,,,,
LR962648.1,,,,,,,,,,,,,,,,,,
LR962644.1,,,,,,,,,,,,,,,,,,
LR962643.1,,,erm(B),,,,,,,,,,,,,,,
LR962641.1,,,erm(B),,bleO,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,aadD1,,
LR962640.1,,,,,,,,,,,,,,,,,,
LR962638.1,,,,,,,,,,,,,,,,,,
LR962637.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962633.1,,,erm(B),aph(3')-IIIa,sat4*,ant(6)-Ia,,,,,,,,,,,,
LR962631.1,,,,,,,,,,,,,,,,,,
LR962630.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
LR962629.1,,,erm(B),,sat4^,ant(6)-Ia,,,,,,,,,,,,
LR962627.1,,tet(L),erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
LR962625.1,,,,,,,,,,,,,,,,,,
LR962624.1,,,,,,,,,,,,,,,,,,
LR962623.1,,,,,,,,,,,,,,,,,,
LR962622.1,,,,,,,,,,,,,,,,,,
LR962621.1,,,,,,,,,,,,,,,,,,
LR962619.1,,,,,,,,,,,,,,,,,,
LR962616.1,,,,,,,,,,,,,,,,,,
LR962614.1,,,,,,,,,,,,,,,,,,
LR962610.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962609.1,,,,,,,,,,,,,,,,,,
LR962605.1,,,erm(B),,,,,,,,,,,,,,,
LR962603.1,,,,,,,,,,,,,,,,,,
LR962601.1,,,,,,,,,,,,,,,,,,
LR962599.1,,,,,,,,,,,,,,,,,,
LR962597.1,,,,,,,,,,,,,,,,,,
LR962596.1,,,,,,,,,,,,,,,,,,
LR962594.1,,,,,,,,,,,,,,,,,,
LR962593.1,,,,,,,,,,,,,,,,,,
LR962592.1,,,,,,,,,,,,,,,,,,
LR962590.1,,,,,,,,,,,,,,,,,,
LR962588.1,,,,,,,,,,,,,,,,,,
LR962587.1,,,,,,,,,,,,,,,,,,
LR962585.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,"ant(6)-Ia,str^",,,,,,,,,,,,
LR962583.1,,,,,,,,,,,,,,,,,,
LR962582.1,,,,,,,,,,,,,,,,,,
LR962581.1,,,,,,,,,,,,,,,,,,
LR962578.1,,,,,,,,,,,,,,,,,,
LR962577.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962575.1,,,,,,,,,,,,,,,,,,
LR962573.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
LR962571.1,,,,,,,,,,,,,,,,,,
LR962570.1,,,,,,,,,,,,,,,,,,
LR962568.1,,"tet(L),tet(M)",erm(B)*,,,str,,,,,,,,,,,,
LR962566.1,,,,,,,,,,,,,,,,,,
LR962564.1,,,,,,,,,,,,,,,,,,
LR962563.1,,,,,,,,,,,,,,,,,,
LR962562.1,,,,,,,,,,,,,,,,,,
LR962560.1,,,,,,,,,,,,,,,,,,
LR962557.1,,,,,,,,,,,,,,,,,,
LR962556.1,,,,,,,,,,,,,,,,,,
LR962555.1,,,,,,,,,,,,,,,,,,
LR962553.1,,,,,,,,,,,,,,,,,,
LR962552.1,,,,,,,,,,,,,,,,,,
LR962549.1,,,,,,,,,,,,,,,,,,
LR962547.1,,,,,,,,,,,,,,,,,,
LR962543.1,,,,,,,,,,,,,,,,,,
LR962540.1,,,,,,,,,,,,,,,,,,
LR962538.1,,,,,,,,,,,,,,,,,,
LR962537.1,,,,,,,,,,,,,,,,,,
LR962536.1,,,,,,,,,,,,,,,,,,
LR962535.1,,,erm(B),,sat4^,ant(6)-Ia,,,,,,,,,,,,
LR962534.1,,,,,,,,,,,,,,,,,,
LR962533.1,catA*,"tet(L),tet(M)",,,,,,,,,,,,,,,,
LR962532.1,,tet(S)*,,,,,,,,,,,,,,,,
LR962530.1,,,,,,,,,,,,,,,,,,
LR962529.1,,,,,,,,,,,,,,,,,,
LR962528.1,,,,,,,,,,,,,,,,,,
LR962527.1,,,erm(B),,,,,,,,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,
LR962524.1,,tet(L),,,,,,,,,,,,,,,,
LR962522.1,,,,,,,,,,,,,,,,,,
LR962520.1,,,,,,,,,,,,,,,,,,
LR962518.1,,,,,,,,,,,,,,,,,,
LR962516.1,,,,,,,,,,,,,,,,,,
LR962514.1,,,,,,,,,,,,,,,,,,
LR962513.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962510.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962508.1,,tet(O)*,erm(B),,,,,,,,,,,,,,,
LR962506.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962505.1,,,,,,,,,,,,,,,,,,
LR962504.1,,,,,,,,,,,,,,,,,,
LR962503.1,,,,,,,,,,,,,,,,,,
LR962500.1,,,,,,,,,,,,,,,,,,
LR962499.1,,,,,,,,,,,,,,,,,,
LR962498.1,,,,,,,,,,,,,,,,,,
LR962496.1,,"tet(L),tet(M)",,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962494.1,,,,,,,,,,,,,,,,,,
LR962493.1,,,,,,,,,,,,,,,,,,
LR962492.1,,"tet(L),tet(M)",,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962491.1,,,erm(B),,sat4^,ant(6)-Ia,,,,,,,,,,,,
LR962490.1,,,erm(B),,,,,,,,,,,,,,,
LR962488.1,,,,,,,,,,,,,,,,,,
LR962487.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962485.1,,,,,,,,,,,,,,,,,,
LR962481.1,,,erm(B),,,,,,,,,,,,,,,
LR962479.1,,,,,,,,,,,,,,,,,,
LR962478.1,,,,,,,,,,,,,,,,,,
LR962477.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962475.1,catA,"tet(L),tet(M)",erm(B),,,str,,,,,,,,,,,,
LR962473.1,,,,,,,,,,,,,,,,,,
LR962472.1,,,,,,,,,,,,,,,,,,
LR962471.1,,,erm(B),,,,,,,,,,,,,,,
LR962470.1,,tet(S),erm(B),,,ant(6)-Ia,,,,,,,,,,,,
LR962469.1,,,,,,,,,,,,,,,,,,
LR962467.1,,"tet(L),tet(M)",,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962465.1,,,,,,,,,,,,,,,,,,
LR962463.1,,,,,,,,,,,,,,,,,,
LR962462.1,,,erm(B),,,,,,,,,,,,,,,
LR962460.1,,,,,,,,,,,,,,,,,,
LR962459.1,,,,,,,,,,,,,,,,,,
LR962458.1,,,,,,,,,,,,,,,,,,
LR962457.1,catA*,"tet(L),tet(M)",erm(B)^,,,str,,,,,,,,,,,,
LR962456.1,,,,,,,,,,,,,,,,,,
LR962455.1,,,,,,,,,,,,,,,,,,
LR962453.1,,,,,,,,,,,,,,,,,,
LR962452.1,,,,,,,,,,,,,,,,,,
LR962451.1,,"tet(L),tet(M)",,,,,,,,,,,,,,,,
LR962449.1,,"tet(L),tet(M)",,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962448.1,,,,,,,,,,,,,,,,,,
LR962446.1,,,,,,,,,,,,,,,,,,
LR962445.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,,,,,,
LR962443.1,,,,,,,,,,,,,,,,,,
LR962442.1,,,,,,,,,,,,,,,,,,
LR962441.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,"apmA,spw",,,,,,,,,
LR962439.1,,,erm(B),,,,,,,,,,,,,,,
LR962438.1,,,,,,,,,,,,,,,,,,
LR962436.1,catA*,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
LR962435.1,,,,,,,,,,,,,,,,,,
LR962433.1,,,erm(B)*,,,,,,,,,,,,,,,
LR962431.1,,,,,,,,,,,,,,,,,,
LR962430.1,,,,,,,,,,,,,,,,,,
LR962429.1,,,erm(B),,,,,,,,,,,,,,,
LR962425.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia*,dfrG,,,,,,,
LR962424.1,,,,,,,,,,,,,,,,,,
LR962422.1,,,,,,,,,,,,,,,,,,
LR962420.1,,,,,,,,,,,,,,,,,,
LR962419.1,,,erm(B),,,,,,,,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,
LR962417.1,,,,,,,,,,,,,,,,,,
LR962416.1,,,,,,,,,,,,,,,,,,
LR962413.1,,,,,,,,,,,,,,,,,,
LR962411.1,,"tet(L),tet(M)",,,,,,,,,,,,,,,,
LR962409.1,,,,,,,,,,,,,,,,,,
LR962408.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962406.1,,,,,,,,,,,,,,,,,,
LR962405.1,,tet(M),,,,,,,,,,,,,,,,
LR962404.1,,,,,,,,,,,,,,,,,,
LR962402.1,catA,tet(L),erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962401.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962399.1,,,,,,,,,,,,,,,,,,
LR962398.1,,,,,,,,,,,,,,,,,,
LR962397.1,,,,,,,,,,,,,,,,,,
LR962394.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962392.1,,,erm(B)*,,,str,,,,,,,,,,,,
LR962391.1,,,,,,,,,,,,,,,,,,
LR962389.1,,,,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962388.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962387.1,,,,,,,,,,,,,,,,,,
LR962385.1,,,,,,,,,,,,,,,,,,
LR962384.1,,,,,,,,,,,,,,,,,,
LR962383.1,,,,,,,,,,,,,,,,,,
LR962381.1,,,erm(B),,,,,,,,,,,,,,,
LR962380.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962379.1,,,,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962377.1,,,,,,,,,,,,,,,,,,
LR962376.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962374.1,,,,,,,,,,,,,,,,,,
LR962373.1,,,,,,,,,,,,,,,,,,
LR962371.1,,,,,,,,,,,,,,,,,,
LR962369.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962368.1,,,erm(B),,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962365.1,,,,,,,,,,,,,,,,,,
